Experiment name: EXP_0_1
Epoch [95/400], Average Loss: 4.9566e-04, Test Loss: 5.6204e-04, Current_LR:0.0004
Epoch [96/400], Average Loss: 4.9629e-04, Test Loss: 4.6194e-04, Current_LR:0.0004
Epoch [97/400], Average Loss: 4.9972e-04, Test Loss: 4.6840e-04, Current_LR:0.0004
Epoch [98/400], Average Loss: 4.9525e-04, Test Loss: 4.9727e-04, Current_LR:0.0004
Epoch [99/400], Average Loss: 4.9192e-04, Test Loss: 4.7579e-04, Current_LR:0.0004
Epoch [100/400], Average Loss: 4.9462e-04, Test Loss: 4.8366e-04, Current_LR:0.0004
Epoch [101/400], Average Loss: 4.9537e-04, Test Loss: 4.7622e-04, Current_LR:0.0004
Epoch [102/400], Average Loss: 4.8857e-04, Test Loss: 4.6266e-04, Current_LR:0.0004
Epoch [103/400], Average Loss: 4.9241e-04, Test Loss: 4.8126e-04, Current_LR:0.0004
Epoch [104/400], Average Loss: 4.9660e-04, Test Loss: 4.6498e-04, Current_LR:0.0004
Epoch [105/400], Average Loss: 4.8836e-04, Test Loss: 4.6325e-04, Current_LR:0.0004
Epoch [106/400], Average Loss: 4.9269e-04, Test Loss: 4.6840e-04, Current_LR:0.0004
Epoch [107/400], Average Loss: 4.9077e-04, Test Loss: 4.5894e-04, Current_LR:0.0004
Epoch [108/400], Average Loss: 4.8951e-04, Test Loss: 4.6245e-04, Current_LR:0.0004
Epoch [109/400], Average Loss: 4.8840e-04, Test Loss: 4.8770e-04, Current_LR:0.0004
Epoch [110/400], Average Loss: 4.8248e-04, Test Loss: 4.7973e-04, Current_LR:0.0004
Epoch [111/400], Average Loss: 4.8489e-04, Test Loss: 4.6085e-04, Current_LR:0.0004
Epoch [112/400], Average Loss: 4.8886e-04, Test Loss: 4.5996e-04, Current_LR:0.0004
Epoch [113/400], Average Loss: 4.8681e-04, Test Loss: 4.5449e-04, Current_LR:0.0004
Epoch [114/400], Average Loss: 4.8668e-04, Test Loss: 5.0774e-04, Current_LR:0.0004
Epoch [115/400], Average Loss: 4.8381e-04, Test Loss: 4.6505e-04, Current_LR:0.0004
Epoch [116/400], Average Loss: 4.7987e-04, Test Loss: 6.0431e-04, Current_LR:0.0004
Epoch [117/400], Average Loss: 4.8659e-04, Test Loss: 4.7726e-04, Current_LR:0.0004
Epoch [118/400], Average Loss: 4.8041e-04, Test Loss: 5.2285e-04, Current_LR:0.0004
Epoch [119/400], Average Loss: 4.8190e-04, Test Loss: 5.0338e-04, Current_LR:0.0004
Epoch [120/400], Average Loss: 4.8416e-04, Test Loss: 4.5630e-04, Current_LR:0.0004
Epoch [121/400], Average Loss: 4.8563e-04, Test Loss: 4.5767e-04, Current_LR:0.0004
Epoch [122/400], Average Loss: 4.8338e-04, Test Loss: 4.5402e-04, Current_LR:0.0004
Epoch [123/400], Average Loss: 4.8561e-04, Test Loss: 4.7376e-04, Current_LR:0.0004
Epoch [124/400], Average Loss: 4.8362e-04, Test Loss: 4.8353e-04, Current_LR:0.0004
Epoch [125/400], Average Loss: 4.8948e-04, Test Loss: 4.5395e-04, Current_LR:0.0004
Epoch [126/400], Average Loss: 4.8078e-04, Test Loss: 4.8015e-04, Current_LR:0.0004
Epoch [127/400], Average Loss: 4.8271e-04, Test Loss: 4.5623e-04, Current_LR:0.0004
Epoch [128/400], Average Loss: 4.7757e-04, Test Loss: 4.5166e-04, Current_LR:0.0004
Epoch [129/400], Average Loss: 4.7550e-04, Test Loss: 4.4823e-04, Current_LR:0.0004
Epoch [130/400], Average Loss: 4.7455e-04, Test Loss: 4.5952e-04, Current_LR:0.0004
Epoch [131/400], Average Loss: 4.8260e-04, Test Loss: 5.3177e-04, Current_LR:0.0004
Epoch [132/400], Average Loss: 4.7800e-04, Test Loss: 4.6680e-04, Current_LR:0.0004
Epoch [133/400], Average Loss: 4.7370e-04, Test Loss: 4.5678e-04, Current_LR:0.0004
Epoch [134/400], Average Loss: 4.7229e-04, Test Loss: 4.5701e-04, Current_LR:0.0004
Epoch [135/400], Average Loss: 4.7492e-04, Test Loss: 4.5577e-04, Current_LR:0.0004
Epoch [136/400], Average Loss: 4.7214e-04, Test Loss: 4.5231e-04, Current_LR:0.0004
